Date,Xt
2003-01-01,30.80869565
2003-02-01,32.6625
2003-03-01,30.16809524
2003-04-01,25.035
2003-05-01,25.71454545
2003-06-01,27.56666667
2003-07-01,28.50391304
2003-08-01,29.71809524
2003-09-01,27.04409091
2003-10-01,29.43565217
2003-11-01,28.9485
2003-12-01,29.74347826
2004-01-01,30.98181818
2004-02-01,30.795
2004-03-01,33.42434783
2004-04-01,33.35772727
2004-05-01,37.58904762
2004-06-01,35.43772727
2004-07-01,38.22681818
2004-08-01,42.22409091
2004-09-01,43.31590909
2004-10-01,49.73619048
2004-11-01,43.74863636
2004-12-01,39.96565217
2005-01-01,44.1747619
2005-02-01,45.721
2005-03-01,53.22913043
2005-04-01,52.60428571
2005-05-01,49.28545455
2005-06-01,54.83909091
2005-07-01,57.62571429
2005-08-01,63.95043478
2005-09-01,63.26136364
2005-10-01,58.90857143
2005-11-01,55.44954545
2005-12-01,57.15681818
2006-01-01,63.31181818
2006-02-01,60.8055
2006-03-01,62.74695652
2006-04-01,70.34
2006-05-01,70.51
2006-06-01,69.23272727
2006-07-01,74.04095238
2006-08-01,73.50043478
2006-09-01,62.52714286
2006-10-01,58.75818182
2006-11-01,59.22272727
2006-12-01,62.26047619
2007-01-01,54.50304348
2007-02-01,57.9695
2007-03-01,62.35727273
2007-04-01,67.69047619
2007-05-01,67.71782609
2007-06-01,70.61904762
2007-07-01,76.13318182
2007-08-01,71.31304348
2007-09-01,76.772
2007-10-01,82.5073913
2007-11-01,92.73136364
2007-12-01,91.51952381
2008-01-01,92.09173913
2008-02-01,94.72238095
2008-03-01,103.1619048
2008-04-01,110.0331818
2008-05-01,123.8622727
2008-06-01,132.7604762
2008-07-01,133.5852174
2008-08-01,113.8004762
2008-09-01,98.75545455
2008-10-01,71.96347826
2008-11-01,52.7135
2008-12-01,40.51173913
2009-01-01,43.17454545
2009-02-01,42.9105
2009-03-01,46.58272727
2009-04-01,50.51909091
2009-05-01,57.50142857
2009-06-01,68.58
2009-07-01,64.90434783
2009-08-01,72.59190476
2009-09-01,67.51318182
2009-10-01,72.96863636
2009-11-01,76.93666667
2009-12-01,74.78956522
2010-01-01,76.60238095
2010-02-01,73.903
2010-03-01,79.51913043
2010-04-01,85.15636364
2010-05-01,76.13238095
2010-06-01,75.24636364
2010-07-01,75.195
2010-08-01,76.89181818
2010-09-01,77.93818182
2010-10-01,83.33857143
2010-11-01,85.80090909
2010-12-01,91.96
2011-01-01,96.95238095
2011-02-01,104.2385
2011-03-01,114.9173913
2011-04-01,123.3257143
2011-05-01,114.9295455
2011-06-01,114.3704545
2011-07-01,117.4833333
2011-08-01,110.3547826
2011-09-01,111.9627273
2011-10-01,110.4295238
2011-11-01,111.1586364
2011-12-01,108.3477273
2012-01-01,111.415
2012-02-01,119.1657143
2012-03-01,124.7031818
2012-04-01,120.47
2012-05-01,110.8221739
2012-06-01,95.88904762
2012-07-01,102.9795455
2012-08-01,113.7804348
2012-09-01,113.6415
2012-10-01,111.7926087
2012-11-01,109.9118182
2012-12-01,109.5690476
2013-01-01,112.5278261
2013-02-01,116.488
2013-03-01,109.5857143
2013-04-01,102.96
2013-05-01,102.9804348
2013-06-01,103.3585
2013-07-01,107.7795652
2013-08-01,111.0581818
2013-09-01,111.9628571
2013-10-01,109.6186957
2013-11-01,108.1504762
2013-12-01,111.0704545
2014-01-01,107.9269565
2014-02-01,108.838
2014-03-01,107.8680952
2014-04-01,108.0036364
2014-05-01,109.8322727
2014-06-01,112.2409524
2014-07-01,107.4626087
2014-08-01,102.4019048
2014-09-01,97.85272727
2014-10-01,87.58478261
2014-11-01,79.2295
2014-12-01,62.90391304
2015-01-01,48.93318182
2015-02-01,58.254
2015-03-01,56.52454545
2015-04-01,59.82636364
2015-05-01,65.19380952
2015-06-01,62.62
2015-07-01,56.82956522
2015-08-01,47.53380952
2015-09-01,48.03045455
2015-10-01,48.90636364
2015-11-01,45.0952381
2015-12-01,38.52521739
2016-01-01,32.0452381
2016-02-01,33.76238095
2016-03-01,39.79217391
2016-04-01,43.33047619
2016-05-01,47.735
2016-06-01,49.87727273
2016-07-01,46.59857143
2016-08-01,47.05217391
2016-09-01,47.37681818
2016-10-01,51.41380952
2016-11-01,46.94227273
2016-12-01,55.02272727
2017-01-01,55.71090909
2017-02-01,56.096
2017-03-01,52.65521739
2017-04-01,53.978
2017-05-01,51.37434783
2017-06-01,47.65272727
2017-07-01,49.25333333
2017-08-01,51.92782609
2017-09-01,55.55761905
2017-10-01,57.53636364
2017-11-01,62.83636364
2017-12-01,64.06428571
2018-01-01,68.88913043
2018-02-01,65.6965
2018-03-01,66.89181818
2018-04-01,71.93285714
2018-05-01,76.93434783
2018-06-01,75.80285714
2018-07-01,75.22909091
2018-08-01,73.85130435
2018-09-01,79.163
2018-10-01,80.78347826
2018-11-01,66.22863636
2018-12-01,57.94809524
2019-01-01,59.94478261
2019-02-01,64.384
2019-03-01,66.94190476
2019-04-01,71.47590909
2019-05-01,70.38913043
2019-06-01,63.2085
2019-07-01,64.32217391
2019-08-01,59.61818182
2019-09-01,62.43095238
2019-10-01,59.63130435
2019-11-01,62.68666667
2019-12-01,65.34818182
2020-01-01,63.89869565
2020-02-01,55.691
2020-03-01,33.94727273
2020-04-01,26.84863636
2020-05-01,32.42238095
2020-06-01,40.86045455
2020-07-01,43.29565217
2020-08-01,45.08142857
2020-09-01,41.92681818
2020-10-01,41.60681818
2020-11-01,44.05
2020-12-01,50.37695652
