,Date,JNJ,RO.SW
0,2020-01-03,121.2183609,248.8349609
1,2020-01-06,121.0671387,248.9954224
2,2020-01-07,121.8064728,249.4766846
3,2020-01-08,121.7896729,249.7975769
4,2020-01-09,122.1509323,252.0436249
5,2020-01-10,121.8736801,253.8084717
6,2020-01-13,122.411377,252.3645172
7,2020-01-14,123.1003418,251.7227936
8,2020-01-15,123.512001,253.6480408
9,2020-01-16,124.5117645,253.4875793
10,2020-01-17,125.3267441,258.9423828
11,2020-01-21,125.4107208,260.7071838
12,2020-01-22,124.5537796,260.7071838
13,2020-01-23,124.7890472,258.9423828
14,2020-01-24,124.6126328,256.0545654
15,2020-01-27,124.9738998,252.3645172
16,2020-01-28,125.6039734,254.2897644
17,2020-01-29,126.4777603,257.9797668
18,2020-01-30,126.3265228,257.8193054
19,2020-01-31,125.0746994,256.6962891
20,2020-02-03,126.1669159,257.3380432
21,2020-02-04,127.3683853,260.2258606
22,2020-02-05,129.376297,267.7663574
23,2020-02-06,128.9898224,267.6058655
24,2020-02-07,127.6119919,268.2476196
25,2020-02-10,127.5867615,268.2476196
26,2020-02-11,127.6960297,268.7289124
27,2020-02-12,126.939827,267.4454346
28,2020-02-13,126.0996704,271.4563599
29,2020-02-14,126.133255,269.6915588
30,2020-02-18,125.3015137,272.5793762
31,2020-02-19,125.1334991,276.9111023
32,2020-02-20,124.6546097,273.2210999
33,2020-02-21,125.9652863,272.5793762
34,2020-02-24,123.3695374,263.9158936
35,2020-02-25,122.3041611,261.0280457
36,2020-02-26,121.484024,260.5467529
37,2020-02-27,117.6284485,253.8084717
38,2020-02-28,113.7052231,244.3427887
39,2020-03-02,118.3894424,248.5140686
40,2020-03-03,114.6437683,254.2897644
41,2020-03-04,121.314888,261.8302002
42,2020-03-05,120.0719986,261.0280457
43,2020-03-06,120.0889282,249.1558838
44,2020-03-09,115.3624725,233.4331512
45,2020-03-10,119.7591248,232.3101654
46,2020-03-11,111.43927,232.7914429
47,2020-03-12,106.0363846,214.5018158
48,2020-03-13,113.5446243,222.5235901
49,2020-03-16,107.4906921,230.5453033
50,2020-03-17,115.4893036,233.7540436
51,2020-03-18,114.1111145,228.6201324
52,2020-03-19,107.4230347,248.0031433
53,2020-03-20,101.3691559,235.4124756
54,2020-03-23,93.97086334,225.6381073
55,2020-03-24,100.7688217,235.7437897
56,2020-03-25,100.954834,240.8794708
57,2020-03-26,107.0171814,242.5361328
58,2020-03-27,104.1339798,244.3584747
